x,y,z
170.09526181695196,466.6563707235884,a
194.52492888529883,490.98407836848605,a
195.4252113621952,436.1777359579007,a
131.06459159114794,440.0405454359462,a
126.76437282209088,421.03571211601934,a
121.86958944012832,395.7220930191123,a
158.37963768081156,296.6105608251123,a
119.93198717203268,332.28227903843276,a
157.4649461871498,373.4165305071067,a
134.47285001437027,320.9605107260034,a
110.55903434609708,329.7486437108539,a
115.95668918955896,316.8540638900331,a
100.89185537420758,275.6727502114212,a
109.70885661365017,292.9025802184942,a
135.14993244243263,315.0801714062413,a
68.9369405562851,282.27786117843107,a
54.14107270530905,279.3743078006887,a
76.65555827200612,269.57555550978674,a
92.69419880539586,271.60865183886284,a
91.56886132782547,336.4615693382993,a
91.23463362835261,316.92320143015775,a
102.42717505581396,347.10027721838196,a
154.49089913648686,362.0259069385756,a
157.60134338951522,391.0193119018656,a
173.62167397865716,370.7653671095894,a
182.79729558585169,417.27341336564837,a
212.01169510388513,482.4860812458873,a
193.22258262041788,404.93848238964586,a
198.1462649208799,516.0842082824875,a
253.56167125503424,461.39904685704033,a
246.82064822942033,445.08007122104743,a
197.86580422956035,404.3297683387956,a
268.9426230308043,449.087525248757,a
197.33843467340674,431.90956870280445,a
211.686936013325,460.7473506978705,a
203.1846779626958,437.81569084407516,a
186.3023263880648,387.9582145336188,a
139.46582229882262,407.8349846305734,a
120.1441466688749,425.4183116960698,a
110.79059649451936,416.00910878168327,a
141.90844371867897,342.3019198289326,a
52.05951659863873,365.6324397333559,a
122.54740206223033,401.6739014773708,a
104.39396072883432,362.9657137548895,a
67.17514928528463,390.7376234215687,a
27.830271156338043,390.0058680947349,a
38.11551570260059,345.7387848360589,a
86.82043460098728,336.0488060641148,a
42.00427553267963,327.1286851401505,a
73.38824201045713,361.0977219378444,a
-4.356171811658847,320.8769451381992,a
34.23994745355178,337.66663148875557,a
39.81369328386968,300.2419719899643,a
85.7212021028543,327.46673171023735,a
36.93172105031378,345.14631372998724,a
47.72125506958964,283.02282228751943,a
44.72287004273897,281.2577048097861,a
81.24861921213649,332.2227237958086,a
3.8884397943159,314.5198501864549,a
30.261649453543814,363.87256306954794,a
24.9873871048358,344.6680624528573,a
41.05490125782924,424.76791004092297,a
44.33434716759597,427.6719177497539,a
81.219176784993,436.3243184196878,a
64.44830955656786,427.60086328219955,a
35.45004919534352,429.3267684763328,a
86.58398590617169,443.60238241273925,a
52.66237034124106,439.8860069484221,a
113.5623881720979,410.67897268544806,a
57.88128562172061,432.54730782984996,a
50.63612554962085,398.83484310879527,a
102.24325038996805,446.96079012461564,a
107.37874222047952,431.2548392931637,a
76.06579591083081,368.9538079749801,a
60.40658022849132,441.11482614122133,a
81.52413761257137,490.78842155651483,a
123.16416179272282,455.7171429328413,a
94.50986090746794,443.61107124757825,a
92.39216839424394,438.030154387988,a
152.51554813720617,495.36769796797745,a
117.12306610393638,459.11455836361614,a
149.7516718767084,495.83548356169626,a
177.20572076500213,467.24665296063586,a
205.2453724253148,438.7755902665279,a
161.16105765984963,432.8017516943414,a
166.1245082550557,448.0438947154601,a
220.30408323356406,428.1389521066353,a
180.91415057805412,445.21730061337513,a
200.2333190437573,432.82043070046,a
177.8547377963877,440.6013237048223,a
234.18809693226964,465.0216820098818,a
219.472165870179,469.6428522826407,a
228.4022140342488,425.21304051163486,a
200.02262898021237,485.05055400614367,a
213.52754814409764,470.63270011140384,a
211.926045181259,404.09848510853203,a
190.90262405375367,399.45423715874756,a
199.1632720895505,359.6864402523181,a
200.88175954199508,310.15502984197553,a
175.23330601917493,317.31141046159473,a
86.17162090129014,305.35423968652964,a
93.06972093452671,279.8888662732969,a
105.32745426103068,265.56910004566873,a
104.76906030552972,282.0867374810801,a
62.76457533461252,246.05183161492334,a
68.70918880009455,254.94842466303066,a
75.83934697717048,216.2166629046098,a
66.48937254277703,211.05430361170988,a
38.79907402219196,229.26756570505256,a
25.531464322387496,165.92104535569547,a
61.934745250567104,160.35030478618108,a
45.18626936307312,200.22266279085375,a
15.640735803739162,211.07710637378165,a
59.60762056637394,188.55872580243744,a
28.617985317206553,219.95770784798867,a
10.173308307036834,155.66399769972838,a
24.69446752368347,206.06007070425744,a
34.91337077677958,153.64468292152867,a
39.28517987487686,180.01984051975506,a
24.7948311868076,187.42080449454568,a
8.93075509282222,186.07319439344343,a
-20.923074426724067,211.8560641398089,a
40.628668277845094,206.3352949136202,a
-5.598289624054175,192.84753843246062,a
-15.259636883307195,188.32232262500145,a
69.78180109924273,217.77488669952345,a
41.72347063730304,233.40060617655865,a
43.925739492458746,170.79869321408546,a
75.71706579049756,240.59142493304222,a
96.85677816522559,286.2856763234207,a
117.5482579433342,252.6361444462628,a
154.0881130672025,368.959178100953,a
112.94476115616271,312.3988186156013,a
182.48148612742295,381.83397092416834,a
211.3281128573491,418.6171291581593,a
207.34450744399084,406.22618933915993,a
114.92899587643409,396.728648729204,a
179.76360353994446,424.9966912164614,a
218.45410511387075,371.03186422764924,a
258.29060707779615,369.7516679217366,a
253.73789715985924,441.7612516240814,a
260.31791711692455,429.833225843779,a
233.16445314087105,458.9124708131452,a
251.80749814949218,403.85488147624244,a
250.71298635814483,446.0134273277765,a
271.77189682924427,433.72911107674105,a
276.58488498155725,402.76604079485264,a
231.55616884514282,433.92987408721024,a
244.7862090999005,463.6378884439313,a
243.1692382490435,466.8416324682637,a
257.4456408472836,420.3341609930184,a
634.9563589976824,421.13149846166687,a
616.1144072132421,388.5632852993365,a
622.3546898513426,376.56859313145264,a
650.3832013871383,376.5920643284407,a
662.7780330341861,375.07909074854183,a
603.5743033329679,384.7479787043341,a
564.2283684965456,312.26095295668335,a
581.7198431909434,332.08809578408784,a
585.4088072080847,303.8234484830805,a
564.522510169833,261.3372721999991,a
527.763674562605,214.7748623576549,a
